LotArea,Neighborhood,YearBuilt,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,SalePrice
8450,5,2003,706,856,856,1710,548,208500
9600,24,1976,978,1262,1262,1262,460,181500
11250,5,2001,486,920,920,1786,608,223500
9550,6,1915,216,756,961,1717,642,140000
14260,15,2000,655,1145,1145,2198,836,250000
14115,11,1993,732,796,796,1362,480,143000
10084,21,2004,1369,1686,1694,1694,636,307000
10382,14,1973,859,1107,1107,2090,484,200000
6120,17,1931,0,952,1022,1774,468,129900
7420,3,1939,851,991,1077,1077,205,118000
11200,19,1965,906,1040,1040,1040,384,129500
11924,16,2005,998,1175,1182,2324,736,345000
12968,19,1962,737,912,912,912,352,144000
10652,5,2006,0,1494,1494,1494,840,279500
10920,12,1960,733,1253,1253,1253,352,157000
6120,3,1929,0,832,854,854,576,132000
11241,12,1970,578,1004,1004,1004,480,149000
10791,19,1967,0,0,1296,1296,516,90000
13695,20,2004,646,1114,1114,1114,576,159000
7560,12,1958,504,1029,1339,1339,294,139000
14215,16,2005,0,1158,1158,2376,853,325300
7449,9,1930,0,637,1108,1108,280,139400
9742,5,2002,0,1777,1795,1795,534,230000
4224,10,1976,840,1040,1060,1060,572,129900
8246,19,1968,188,1060,1060,1060,270,154000
14230,16,2007,0,1566,1600,1600,890,256300
7200,12,1951,234,900,900,900,576,134800
11478,16,2007,1218,1704,1704,1704,772,306000
16321,12,1957,1277,1484,1600,1600,319,207500
6324,3,1927,0,520,520,520,240,68500
8500,9,1920,0,649,649,1317,250,40000
8544,19,1966,0,1228,1228,1228,271,149350
11049,5,2007,0,1234,1234,1234,484,179900
10552,12,1959,1018,1398,1700,1700,447,165500
7313,16,2005,1153,1561,1561,1561,556,277500
13418,16,2004,0,1117,1132,2452,691,309000
10859,5,1994,0,1097,1097,1097,672,145000
8532,12,1954,1213,1297,1297,1297,498,153000
7922,12,1953,731,1057,1057,1057,246,109000
6040,7,1955,0,0,1152,1152,0,82000
8658,12,1965,643,1088,1324,1324,440,160000
16905,23,1959,967,1350,1328,1328,308,170000
9180,20,1983,747,840,884,884,504,144000
9200,5,1975,280,938,938,938,308,130250
7945,12,1959,179,1150,1150,1150,300,141000
7658,16,2005,456,1752,1752,1752,576,319900
12822,11,2003,1351,1434,1518,2149,670,239686
11096,21,2006,24,1656,1656,1656,826,249700
4456,17,1920,0,736,736,1452,0,113000
7742,19,1966,763,955,955,955,386,127000
13869,8,1997,182,794,794,1470,388,177000
6240,3,1934,0,816,816,1176,528,114500
8472,9,1963,104,816,816,816,516,110000
50271,24,1981,1810,1842,1842,1842,894,385000
7134,12,1955,384,384,1360,1360,572,130000
10175,12,1964,490,1425,1425,1425,576,180500
2645,21,1999,649,970,983,1739,480,172500
11645,5,2004,0,860,860,1720,565,196500
13682,22,2006,0,1410,1426,2945,641,438780
7200,5,1972,632,780,780,780,352,124900
13072,20,2004,941,1158,1158,1158,576,158000
7200,9,1920,0,530,581,1111,288,101000
6442,16,2006,24,1370,1370,1370,484,202500
10300,17,1921,0,576,902,1710,480,140000
9375,5,1997,739,1057,1057,2034,645,219500
9591,16,2004,0,1143,1143,2473,852,317000
19900,12,1970,912,1947,2207,2207,576,180000
10665,5,2003,1013,1453,1479,1479,558,226000
4608,17,1945,0,747,747,747,220,80000
15593,4,1953,603,1304,1304,2287,667,225000
13651,12,1973,1880,2223,2223,2223,516,244000
7599,11,1982,565,845,845,845,360,129500
10141,8,1998,0,832,885,1718,427,185000
10200,12,1954,320,1086,1086,1086,490,144900
5790,17,1915,0,840,840,1605,379,107400
1596,10,1973,462,462,526,988,297,91000
8475,12,1956,228,952,952,952,283,135750
8635,3,1948,336,672,1072,1285,240,127000
10778,19,1968,0,1768,1768,1768,0,136500
10440,17,1910,0,440,682,1230,440,110000
13000,12,1968,448,896,1182,2142,509,193500
4500,11,1998,1201,1237,1337,1337,405,153500
10206,21,2007,33,1563,1563,1563,758,245000
8892,12,1960,0,1065,1065,1065,461,126500
8530,8,1995,0,384,804,1474,400,168500
16059,15,1991,0,1288,1301,2417,462,260000
11911,8,2005,0,684,684,1560,400,174000
3951,21,2009,0,612,612,1224,528,164500
8470,9,1915,0,1013,1013,1526,0,85000
8070,5,1994,588,990,990,990,0,123600
7200,12,1950,0,0,1040,1040,420,109900
8500,12,1961,600,1235,1235,1235,480,98600
13360,6,1921,713,876,964,964,432,163500
7200,17,1910,1046,1214,1260,2291,506,133900
9337,5,1997,648,824,905,1786,684,204750
9765,8,1993,310,680,680,1470,420,185000
10264,5,1999,1162,1588,1588,1588,472,214000
10921,7,1965,520,960,960,960,432,94750
10625,7,1920,108,458,835,835,366,83000
9320,12,1959,569,950,1225,1225,0,128950
10603,14,1977,1200,1610,1610,1610,480,205000
9206,20,1985,0,741,977,1732,476,178000
7018,20,1979,0,0,1535,1535,410,118964
10402,5,2009,0,1226,1226,1226,740,198900
7758,9,1931,224,1040,1226,1818,240,169500
9375,21,2003,0,1053,1053,1992,648,250000
10800,17,1885,0,641,1047,1047,273,100000
6000,17,1948,104,789,789,789,250,115000
8500,9,1919,0,793,997,1517,0,115000
11751,14,1977,705,1844,1844,1844,546,190000
9525,7,1954,444,994,1216,1855,325,136900
7750,8,2000,250,384,774,1430,400,180000
9965,5,2007,984,1264,1282,2696,792,383970
21000,6,1953,35,1809,2259,2259,450,217000
7259,6,1945,774,1028,1436,2320,180,259500
3230,21,1999,419,729,729,1458,440,176000
11616,19,1962,170,1092,1092,1092,288,139000
8536,7,2006,0,1125,1125,1125,430,155000
12376,20,1990,1470,1673,1699,3222,594,320000
8461,5,2005,0,728,728,1456,390,163990
21453,4,1969,938,938,988,988,540,180000
6060,9,1939,0,732,772,1123,264,100000
9464,12,1958,570,1080,1080,1080,288,136000
7892,20,1993,300,1199,1199,1199,530,153900
17043,14,1979,0,1362,1586,1586,435,181000
6780,9,1935,490,520,520,754,0,84500
4928,13,1976,120,1078,958,958,440,128000
4388,17,1930,116,672,840,840,0,87000
7590,12,1966,512,660,660,1348,453,155000
8973,12,1958,567,1008,1053,1053,750,150000
14200,12,1966,445,924,1216,2157,487,226000
12224,8,2000,695,992,1022,2054,390,244000
7388,12,1959,405,1063,1327,1327,624,150750
6853,23,2001,1005,1267,1296,1296,471,220000
10335,19,1968,570,1461,1721,1721,440,180000
10400,14,1970,0,1304,1682,1682,530,174000
10355,12,1967,695,1214,1214,1214,318,143000
11070,11,1988,0,1907,1959,1959,766,171000
9066,5,1999,668,1004,1004,1852,660,230000
15426,5,1997,821,928,928,1764,470,231500
10500,12,1971,432,864,864,864,0,115000
11645,5,2005,1300,1734,1734,1734,660,260000
8520,12,1952,507,910,910,1385,720,166000
10335,5,1999,679,1490,1501,1501,577,204000
9100,19,1963,1332,1728,1728,1728,504,125000
2522,7,2004,0,970,970,1709,380,130000
6120,3,1931,209,715,875,875,180,105000
9505,8,2001,0,884,884,2035,434,222500
7500,20,2004,680,1080,1080,1080,0,141000
6240,3,1936,0,896,896,1344,240,115000
10356,5,1975,716,969,969,969,440,122000
13891,16,2007,1400,1710,1710,1710,866,372402
14803,14,1971,416,825,1097,1993,495,190000
13500,4,1960,429,1602,1252,1252,564,235000
11340,17,1923,0,1200,1200,1200,312,125000
9600,7,1924,0,572,572,1096,0,79000
7200,12,1950,0,0,1040,1040,625,109500
12003,23,2009,0,774,774,1968,680,269500
12552,21,2004,222,991,991,1947,678,254900
19378,8,2005,57,1392,1392,2462,576,320000
11120,24,1984,660,1232,1232,1232,516,162500
13688,16,2003,1016,1572,1572,2668,726,412500
12182,16,2005,1201,1541,1541,1541,532,220000
5500,17,1956,0,882,882,882,0,103200
5400,17,1926,370,1149,1149,1616,216,152000
10106,7,1940,351,644,808,1355,0,127500
10708,4,1955,379,1617,1867,1867,303,190000
10562,16,2007,1288,1582,1610,2161,789,325624
8244,8,2004,0,840,840,1720,440,183500
16669,23,1981,0,1686,1707,1707,511,228000
12358,17,1941,360,720,854,1382,660,128500
31770,12,1960,639,1080,1656,1656,528,215000
5306,22,1987,495,1064,1064,1767,504,239000
10197,12,1961,288,1362,1362,1362,504,163000
12416,23,1986,1398,1606,1651,1651,616,184000
12615,7,1950,477,1202,2158,2158,576,243000
10029,4,1988,831,1151,1164,2060,521,211000
13650,19,1958,57,1052,1252,1920,451,172500
17423,22,2008,1904,2216,2234,2234,1166,501837
8520,17,1923,0,968,968,968,480,100000
2117,21,2000,436,756,769,1525,440,177000
7588,6,1920,352,793,901,1802,216,200100
9060,7,1957,0,0,1340,1340,252,120000
11426,17,2003,0,1362,1362,2082,484,200000
7438,3,1908,0,504,936,1252,576,127000
22950,17,1892,0,1107,1518,3608,840,475000
9947,11,1990,611,1188,1217,1217,497,173000
10410,17,1916,0,660,808,1656,180,135000
7018,20,1979,1086,1086,1224,1224,528,153337
4923,22,2001,1153,1593,1593,1593,682,286000
10570,6,1932,297,853,1549,2727,440,315000
7472,12,1972,626,725,725,1479,484,184000
9017,5,1999,560,1431,1431,1431,666,192000
2522,7,2004,0,970,970,1709,380,130000
7180,5,1972,390,864,864,864,352,127000
2280,13,1976,566,855,855,1456,440,148500
9416,21,2007,1126,1726,1726,1726,786,311872
25419,12,1918,1036,1360,1360,3112,795,235000
5520,17,1912,0,755,929,2229,0,104000
9591,16,2004,1088,1713,1713,1713,856,274900
8546,7,2003,0,1121,1121,1121,440,140000
10125,11,1977,641,1196,1279,1279,473,171500
7000,17,1924,617,617,865,1310,398,112000
4438,5,2004,662,848,848,848,420,149000
3500,17,1947,312,720,720,1284,240,110000
11851,8,1990,0,1424,1442,1442,500,180500
13673,19,1962,0,1140,1696,1696,349,143900
12493,12,1960,419,1100,1100,1100,312,141000
14364,20,1988,1065,1157,1180,2062,454,277000
8250,12,1964,787,1092,1092,1092,504,145000
5604,7,1925,468,864,864,864,0,98000
10420,7,2009,36,1212,1212,1212,460,186000
8640,21,2009,822,900,932,1852,644,252678
13568,5,1995,716,990,990,990,576,156000
10900,5,1977,378,689,689,1392,299,161750
10011,12,1957,360,1070,1236,1236,447,134450
8450,5,2004,946,1436,1436,1436,484,210000
9906,17,1925,0,686,810,1328,210,107000
15660,6,1939,341,798,1137,1954,431,311500
3010,0,2005,16,1248,1248,1248,438,167240
8990,5,2006,0,1498,1498,1498,675,204900
8068,8,2002,0,1010,1010,2267,390,200000
11475,14,1975,550,713,811,1552,434,179900
10500,12,1971,524,864,864,864,576,97000
13472,16,2003,56,2392,2392,2392,968,386250
1680,2,1971,0,630,630,1302,280,112000
9950,15,1995,565,1203,1214,2520,721,290000
1869,2,1970,321,483,483,987,280,106000
8521,19,1967,842,912,912,912,336,125000
3182,0,2005,16,1373,1555,1555,430,192500
8760,12,1959,0,1194,1194,1194,312,148000
15138,15,1995,689,1462,1490,2794,810,403000
1680,2,1972,0,483,483,987,288,94500
10650,5,1976,182,894,894,894,308,128200
7851,8,2002,625,860,860,1960,440,216500
1680,2,1971,358,483,483,987,264,89500
8773,5,2004,24,1414,1414,1414,494,185500
9453,20,1993,402,996,1014,1744,457,194500
12030,16,2007,0,1694,1694,1694,818,318000
8741,7,1945,94,735,798,1487,220,113000
9000,21,2008,1078,1566,1566,1566,750,262500
3880,17,1945,329,686,866,866,0,110500
5000,17,1900,0,540,889,1440,352,79000
10762,20,1980,0,626,626,1217,288,120000
8880,20,1994,695,948,1222,2110,463,205000
10400,14,1988,929,1845,1872,1872,604,241500
9142,17,1910,0,1020,908,1928,440,137000
11310,12,1954,0,1367,1375,1375,451,140000
11317,5,2003,0,840,840,1668,500,180000
159000,4,1958,697,1444,1444,2144,389,277000
5350,3,1940,0,728,1306,1306,0,76500
4750,6,2006,1573,1573,1625,1625,538,235000
8366,20,2004,0,798,798,1640,520,173000
9350,12,1964,270,1302,1302,1302,309,158000
8400,12,1957,922,1314,1314,1314,294,145000
8738,8,1999,0,975,1005,2291,429,230000
8791,21,2003,503,864,864,1728,673,207500
8814,5,2006,1334,1604,1604,1604,660,220000
12435,5,2001,361,963,963,1792,564,231500
12702,17,1956,0,0,882,882,308,97000
19296,12,1962,672,1362,1382,1382,884,176000
9588,5,2007,0,1482,1482,2574,868,276000
8471,19,1977,506,506,1212,1212,492,151000
5500,17,1929,234,926,926,1316,484,130000
5232,17,1925,0,680,764,764,504,73000
12090,14,1981,588,1422,1422,1422,576,175500
11207,8,1997,714,802,802,1511,413,185000
8400,18,1939,378,720,1052,2192,240,179500
6900,9,1940,403,740,778,778,924,120500
7917,7,1976,751,1143,1113,1113,504,148000
10728,21,2006,0,1095,1095,1939,1053,266000
39104,4,1954,226,1385,1363,1363,439,241500
11764,15,1999,524,1152,1164,2270,671,290000
9600,12,1958,620,1240,1632,1632,338,139000
8314,11,1982,546,816,816,816,264,124500
7264,3,1925,0,952,952,1548,672,205000
9196,11,2003,0,1560,1560,1560,573,201000
19138,8,1951,120,864,864,864,400,141000
14450,16,2006,0,2121,2121,2121,732,415298
10005,4,1977,392,1160,1156,2022,505,192000
11287,20,1989,421,807,1175,1982,575,228500
7200,21,2006,905,1262,1262,1262,572,185000
5063,16,2007,904,1314,1314,1314,626,207500
9612,21,2008,0,1468,1468,1468,898,244600
8012,20,1992,430,1575,1575,1575,529,179200
4251,21,2006,0,625,625,1250,528,164700
9786,12,1962,600,912,1085,1734,440,159000
8125,12,1971,614,858,858,858,0,88000
9819,19,1967,450,882,900,900,280,122000
8730,3,1915,0,698,698,1396,384,153575
15611,5,2006,0,1079,1079,1919,685,233230
5687,18,1912,210,780,936,1716,0,135900
11409,7,1949,292,768,1148,1716,281,131000
16659,14,1977,795,795,1468,2263,539,235000
9600,12,1953,1285,1416,1644,1644,418,167000
7937,11,1984,819,1003,1003,1003,588,142500
13710,9,1950,420,910,910,1558,282,152000
7399,21,1997,649,975,975,1950,576,239000
11700,14,1968,384,702,1041,1743,539,175000
14000,6,1950,0,1092,1152,1152,300,158500
15750,6,1953,841,1165,1336,1336,375,157000
16226,5,1998,281,1028,1210,2452,683,267000
13704,5,2001,0,1541,1541,1541,843,205000
9800,5,1972,894,894,894,894,552,149900
18386,17,1880,0,1470,1675,3493,870,295000
10386,5,2004,1464,2000,2000,2000,888,305900
13474,20,1990,700,700,1122,2243,746,225000
7920,9,1920,0,319,1035,1406,0,89500
12342,7,1940,262,861,861,861,539,82500
12378,16,2003,1274,1896,1944,1944,708,360000
7685,8,1993,518,697,697,1501,420,165600
8000,12,1948,680,972,972,972,240,132000
7800,17,1939,507,793,793,1118,410,119900
215245,23,1965,1236,2136,2036,2036,513,375000
9600,17,1925,16,728,832,1641,546,178000
7795,8,2004,425,716,716,1432,432,188500
13005,14,1980,692,845,1153,2353,484,260000
9000,21,2006,0,1088,1088,1959,1025,270000
9900,15,1993,987,1347,1372,2646,656,260000
14115,14,1980,1036,1372,1472,1472,588,187500
16259,16,2006,0,1249,1249,2596,840,342643
12099,16,2004,970,1136,1136,2468,872,354000
10380,20,1986,28,1502,1553,2730,576,301000
5820,17,1955,256,1162,1163,1163,220,126175
11275,12,1967,0,710,1898,2978,564,242000
5000,9,1941,116,720,803,803,360,87000
10846,24,1993,1619,1719,1719,1719,473,324000
11600,12,1960,565,1383,1383,1383,292,145250
11888,3,1916,0,844,1445,2134,441,214500
6402,9,1920,0,596,596,1192,189,78000
10624,12,1964,40,1728,1728,1728,352,119000
8176,12,1958,846,1056,1056,1056,308,139000
10655,16,2003,1124,3206,1629,1629,880,284000
8198,16,2004,720,1358,1358,1358,484,207000
9042,8,1998,828,943,943,1638,472,192000
164660,23,1965,1249,1499,1619,1786,529,228950
14157,22,2005,1249,1922,1922,1922,676,377426
9135,5,2002,810,1536,1536,1536,532,214000
14145,14,1984,213,1208,1621,1621,440,202500
12400,12,1958,585,1215,1215,1215,297,155000
14191,23,2002,0,967,993,1908,431,202900
8400,20,1950,0,721,841,841,294,82000
8544,12,1949,0,0,1040,1040,400,87500
8849,16,2005,28,1684,1684,1684,564,266000
2592,10,1976,129,536,536,1112,336,85000
6435,3,1939,0,972,972,1577,312,140200
12772,12,1960,498,958,958,958,301,151500
17600,12,1960,1270,1478,1478,1478,498,157500
2448,16,2003,573,764,764,1626,474,154000
20431,16,2005,1410,1848,1848,2728,706,437154
7820,16,2007,0,1869,1869,1869,617,318061
5271,4,1986,1082,1453,1453,1453,445,190000
9084,7,1941,236,616,616,1111,200,95000
8520,17,1928,0,624,720,720,484,105900
8400,18,1940,388,940,1192,1595,240,140000
11249,5,1995,334,1200,1200,1200,521,177500
9248,8,1992,560,1158,1167,1167,400,173000
4224,10,1976,874,1142,1142,1142,528,134000
6930,4,1958,300,1062,1352,1352,288,130000
12011,15,1998,956,1086,1086,1924,592,280000
7540,11,1978,773,888,912,912,470,156000
9144,3,1940,399,883,988,1505,240,145000
7301,7,2003,0,0,495,1922,672,198500
1680,2,1972,162,483,483,987,264,118000
18800,14,1976,712,796,790,1574,566,190000
10690,9,1920,456,672,672,1344,468,147000
9500,12,1963,609,1394,1394,1394,514,159000
9150,12,1962,371,1099,1431,1431,296,165000
7800,12,1954,540,1268,1268,1268,244,132000
9830,12,1959,72,1063,1287,1287,576,162000
8121,8,2000,0,953,953,1664,460,172400
17120,4,1959,0,0,1120,1588,680,134432
7175,20,1984,623,744,752,752,264,125000
10634,12,1953,428,608,1319,1319,270,123000
8200,5,2003,0,847,847,1928,434,219500
10020,7,1922,350,683,904,904,0,61000
8846,5,1996,298,870,914,914,576,148000
11143,21,2004,0,1580,1580,2466,610,340000
11394,22,2010,1445,1856,1856,1856,834,394432
8123,8,2000,0,982,1007,1800,463,179000
5000,18,1924,218,1026,1026,1691,308,127000
7200,21,2006,0,1293,1301,1301,572,187750
9245,5,2006,0,939,939,1797,639,213500
9000,20,1928,0,784,784,784,360,76000
53107,4,1992,985,1580,1079,1953,501,240000
3182,0,2004,24,1256,1269,1269,430,192000
8410,7,1910,0,658,658,1184,0,81000
7200,7,1976,631,1041,1125,1125,352,125000
9382,5,1999,0,1468,1479,1479,577,191000
12474,16,2007,1280,1682,1742,2332,846,426000
8405,7,1900,241,861,961,1367,384,119000
12209,11,2001,690,804,804,1961,560,215000
8339,12,1959,0,0,882,882,294,106500
7446,3,1941,266,788,788,788,0,100000
10134,17,1940,0,735,735,1034,240,109000
9571,7,1956,739,1144,1144,1144,596,129000
7200,5,1972,777,894,894,894,600,123000
7590,12,1962,540,864,876,1812,264,169500
8967,9,1920,0,961,1077,1077,338,67000
8125,21,2006,812,1092,1112,1550,438,241000
14963,24,1996,786,1260,1288,1288,500,245500
8767,5,2005,24,1310,1310,1310,400,164990
10200,19,1940,0,672,672,672,240,108000
12090,15,1998,0,1141,1165,2263,420,258000
10364,8,1995,0,806,806,1572,373,168000
9991,19,1976,1116,1281,1620,1620,490,150000
10480,18,1936,0,1064,1166,1639,240,115000
15576,6,1915,0,840,840,1680,308,177000
14154,16,2006,0,1063,1071,2172,947,280000
10800,21,2007,789,1034,1050,2078,836,339750
9571,7,1958,0,1276,1276,1276,350,60000
34650,8,1955,1056,1056,1056,1056,572,145000
4403,21,2009,578,1470,1478,1478,484,222000
8960,17,1927,0,1008,1028,1028,360,115000
11228,20,1993,50,1080,1080,2097,678,228000
8899,8,2007,24,1340,1340,1340,396,181134
7844,19,1978,209,672,672,1400,440,149500
22420,6,1918,1128,1370,1370,2624,864,239000
8160,7,1940,312,756,756,1134,240,126000
8450,12,1968,775,1056,1056,1056,304,142000
7060,11,1997,1309,1344,1344,1344,784,206300
16635,14,1977,1246,1602,1602,1602,529,215000
21750,11,1954,0,988,988,988,520,113000
9200,15,1998,986,1470,1470,2630,696,315000
9000,12,1956,616,1196,1196,1196,297,139000
3378,17,1946,0,651,707,1389,240,135000
12800,20,1989,1518,1518,1644,1644,569,275000
8593,12,1957,288,907,907,907,352,109008
6762,5,2007,664,1208,1208,1208,628,195400
11457,23,1988,1005,1392,1412,1412,576,175000
1680,2,1971,387,483,483,987,264,85400
5586,17,1920,0,901,1088,1198,0,79900
1920,2,1971,471,765,765,1365,440,122500
10839,8,1997,0,926,926,1604,470,181000
1890,10,1972,495,630,630,630,0,81000
10667,5,1996,385,799,827,1661,550,212000
4400,17,1920,0,648,734,1118,440,116000
6000,3,1926,0,884,904,904,180,119000
4280,6,1913,365,440,694,694,352,90350
12354,7,1920,0,684,684,1196,528,110000
15431,16,2008,1767,3094,2402,2402,672,555000
12108,7,1955,133,1440,1440,1440,0,118000
6240,3,1930,0,1078,1128,1573,360,162900
3922,0,2006,0,1258,1258,1258,648,172500
8750,5,1994,642,915,933,1908,493,210000
9855,7,1956,0,1436,1689,1689,480,127500
16492,12,1966,247,1517,1888,1888,578,190000
11214,8,1998,0,930,956,1886,431,199900
8600,9,1937,0,780,780,1376,198,119500
6000,17,1948,331,649,679,1183,308,120000
5684,17,1930,0,813,813,813,270,110000
70761,4,1975,655,1533,1533,1533,576,280000
9303,23,1996,742,872,888,1756,422,204000
9000,21,2008,0,768,786,1590,676,210000
9297,11,1976,1606,1728,1728,1728,560,188000
9600,14,1973,916,1242,1242,1242,528,175500
4571,17,1916,0,624,624,1344,513,98000
53227,4,1954,1116,1364,1663,1663,529,256000
5100,17,1925,0,588,833,1666,228,161000
7015,3,1950,185,709,979,1203,352,110000
8004,21,2009,544,832,832,1935,552,263435
7200,18,1936,350,560,575,1135,576,155000
8281,19,1965,553,864,864,864,360,62383
11988,6,1934,326,715,849,1660,240,188700
8430,5,1978,616,1040,1040,1040,0,124000
3072,0,2004,0,1375,1414,1414,398,178740
10628,12,1970,778,1277,1277,1277,526,167000
9480,12,1942,386,728,888,1644,312,146500
11428,16,2006,0,1626,1634,1634,866,250000
9291,20,1993,426,832,832,1710,506,187000
6820,22,1985,368,1488,1502,1502,528,212000
11952,14,1977,0,808,1161,1969,534,190000
3675,7,2005,459,547,1072,1072,525,148000
14977,16,2006,1350,1976,1976,1976,908,440000
5330,22,2000,1196,1494,1652,1652,499,251000
8480,19,1963,630,970,970,970,624,132500
13125,5,1997,994,1478,1493,1493,508,208900
13693,16,2006,0,2153,2069,2643,694,380000
10637,5,2007,1288,1705,1718,1718,826,297000
5925,17,1937,168,907,1131,1131,672,89471
16033,16,2004,1261,1833,1850,1850,772,326000
11846,16,2003,1567,1792,1792,1792,874,374000
2500,17,1915,299,910,916,1826,164,155000
4500,11,1998,897,1216,1216,1216,402,164000
